#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      4.65e+00      4.62e-02      1.79e-01      1.26e-01    5.7e-04
 164000      3.99e+00      6.43e-03      1.41e-01      1.51e-01    5.7e-04
 166000      9.22e+00      7.78e-02      3.07e-01      5.68e-01    5.7e-04
 168000      7.46e+00      1.61e-03      2.99e-01      1.63e-01    5.6e-04
 170000      6.43e+00      3.84e-02      2.08e-01      2.96e-01    5.6e-04
 172000      9.74e+00      1.00e-04      3.77e-01      2.89e-01    5.6e-04
 174000      4.26e+00      2.72e-02      1.71e-01      1.02e-01    5.5e-04
 176000      6.63e+00      1.16e-02      2.69e-01      1.51e-01    5.5e-04
 178000      6.55e+00      1.84e-01      2.54e-01      1.97e-01    5.4e-04
 180000      2.20e+00      1.41e-01      8.81e-02      4.36e-02    5.4e-04
 182000      3.69e+00      4.38e-02      1.23e-01      1.71e-01    5.4e-04
 184000      5.61e+00      1.26e-02      2.01e-01      2.32e-01    5.3e-04
 186000      4.24e+00      3.09e-03      1.72e-01      1.13e-01    5.3e-04
 188000      4.58e+00      6.65e-02      1.80e-01      1.44e-01    5.3e-04
 190000      1.27e+01      3.61e-02      5.50e-01      1.98e-01    5.2e-04
 192000      9.32e+00      1.42e-01      4.01e-01      1.77e-01    5.2e-04
 194000      3.71e+00      2.51e-02      1.22e-01      1.83e-01    5.2e-04
 196000      1.65e+00      5.68e-03      7.06e-02      3.19e-02    5.1e-04
 198000      6.05e+00      2.66e-02      2.37e-01      2.12e-01    5.1e-04
 200000      1.50e+01      3.73e-02      6.62e-01      1.30e-01    5.0e-04
 202000      1.22e+01      6.56e-02      4.98e-01      3.69e-01    5.0e-04
 204000      4.76e+00      7.50e-03      1.80e-01      1.95e-01    5.0e-04
 206000      8.11e+00      1.83e-01      1.36e-01      5.67e-01    4.9e-04
 208000      8.10e+00      6.25e-02      3.52e-01      1.65e-01    4.9e-04
 210000      9.57e+00      2.56e-02      4.30e-01      1.21e-01    4.9e-04
 212000      1.33e+01      8.17e-02      5.98e-01      2.20e-01    4.8e-04
 214000      7.21e+00      3.11e-02      3.23e-01      9.52e-02    4.8e-04
 216000      6.09e+00      1.41e-01      2.68e-01      1.18e-01    4.8e-04
 218000      8.57e+00      1.63e-01      3.88e-01      1.39e-01    4.7e-04
 220000      4.45e+00      2.19e-02      1.58e-01      2.19e-01    4.7e-04
 222000      2.57e+00      4.42e-02      9.14e-02      1.79e-01    4.7e-04
 224000      1.42e+01      2.60e-02      6.54e-01      1.91e-01    4.6e-04
 226000      9.76e+00      7.12e-02      4.50e-01      9.65e-02    4.6e-04
 228000      1.17e+01      5.38e-02      3.78e-01      9.39e-01    4.6e-04
 230000      1.22e+01      3.62e-02      5.65e-01      1.82e-01    4.6e-04
 232000      2.09e+00      1.25e-01      9.27e-02      3.65e-02    4.5e-04
 234000      6.49e+00      8.01e-02      2.63e-01      2.60e-01    4.5e-04
 236000      1.41e+01      2.45e-02      6.63e-01      1.47e-01    4.5e-04
 238000      1.02e+01      7.87e-02      4.82e-01      6.93e-02    4.4e-04
 240000      5.33e+00      1.03e-01      2.41e-01      1.28e-01    4.4e-04
 242000      1.33e+01      1.12e-01      6.18e-01      2.58e-01    4.4e-04
 244000      3.15e+00      1.42e-01      1.34e-01      1.05e-01    4.3e-04
 246000      4.12e+00      6.33e-03      1.01e-01      4.02e-01    4.3e-04
 248000      1.10e+01      1.52e-01      5.24e-01      1.30e-01    4.3e-04
 250000      3.98e+00      1.42e-01      1.39e-01      2.17e-01    4.3e-04
 252000      1.81e+01      5.14e-01      1.56e-01      1.42e+00    4.2e-04
 254000      4.96e+00      1.34e-01      2.31e-01      1.61e-01    4.2e-04
 256000      2.70e+00      4.42e-02      1.09e-01      1.73e-01    4.2e-04
 258000      2.11e+00      6.31e-02      9.75e-02      5.43e-02    4.1e-04
 260000      6.59e+00      6.39e-02      1.80e-01      4.47e-01    4.1e-04
 262000      1.37e+01      2.50e-01      5.81e-01      8.01e-01    4.1e-04
 264000      5.29e+00      5.90e-02      2.28e-01      2.15e-01    4.1e-04
 266000      1.23e+01      5.28e-02      6.00e-01      1.80e-01    4.0e-04
 268000      4.74e+00      3.42e-02      2.20e-01      1.42e-01    4.0e-04
 270000      9.68e+00      2.88e-02      4.59e-01      3.67e-01    4.0e-04
 272000      2.27e+00      3.69e-02      8.06e-02      1.88e-01    3.9e-04
 274000      8.72e+00      3.28e-02      4.38e-01      6.72e-02    3.9e-04
 276000      1.27e+01      5.40e-02      6.21e-01      2.72e-01    3.9e-04
 278000      1.89e+00      2.67e-03      8.24e-02      8.13e-02    3.9e-04
 280000      4.38e+00      1.29e-01      2.19e-01      5.19e-02    3.8e-04
 282000      8.51e+00      5.62e-02      4.31e-01      1.46e-01    3.8e-04
 284000      3.39e+00      1.96e-01      1.68e-01      7.81e-02    3.8e-04
 286000      1.77e+00      1.47e-01      4.10e-02      1.22e-01    3.8e-04
 288000      4.26e+00      6.32e-02      1.84e-01      2.78e-01    3.7e-04
 290000      1.23e+01      9.00e-02      6.32e-01      1.09e-01    3.7e-04
 292000      9.49e-01      7.57e-03      4.80e-02      1.88e-02    3.7e-04
 294000      2.20e+00      1.03e-01      8.49e-02      1.19e-01    3.7e-04
 296000      3.00e+00      7.80e-02      1.36e-01      1.24e-01    3.6e-04
 298000      2.45e+00      1.29e-01      1.16e-01      7.70e-02    3.6e-04
 300000      2.83e+00      1.03e-02      9.17e-02      1.92e-01    3.6e-04
 302000      1.23e+01      5.94e-02      6.51e-01      7.68e-02    3.6e-04
 304000      4.06e+00      1.38e-01      2.10e-01      9.56e-02    3.5e-04
 306000      3.35e+00      1.80e-02      1.44e-01      1.71e-01    3.5e-04
 308000      8.56e+00      9.06e-02      4.21e-01      2.94e-01    3.5e-04
 310000      2.21e+00      1.61e-01      1.04e-01      6.77e-02    3.5e-04
 312000      6.80e+00      3.05e-02      3.59e-01      1.16e-01    3.4e-04
 314000      2.47e+00      3.15e-02      1.20e-01      9.52e-02    3.4e-04
 316000      9.58e+00      1.07e-01      5.10e-01      1.57e-01    3.4e-04
 318000      1.44e+00      8.89e-02      6.17e-02      6.91e-02    3.4e-04
 320000      5.73e+00      1.77e-02      3.01e-01      1.38e-01    3.3e-04
 322000      1.24e+01      7.55e-02      6.58e-01      2.50e-01    3.3e-04
 324000      6.02e+00      1.18e-01      3.20e-01      1.83e-01    3.3e-04
 326000      2.71e+00      6.97e-02      1.43e-01      6.76e-02    3.3e-04
 328000      3.16e+00      9.88e-03      5.61e-02      2.66e-01    3.3e-04
 330000      1.08e+01      1.12e-01      5.93e-01      1.40e-01    3.2e-04
 332000      8.31e+00      1.10e-02      4.57e-01      1.76e-01    3.2e-04
 334000      1.28e+00      2.30e-02      5.75e-02      6.73e-02    3.2e-04
 336000      9.66e+00      3.17e-02      5.40e-01      1.13e-01    3.2e-04
