#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      2.18e-01      7.93e-04      5.69e-03      1.21e-02    5.7e-04
 164000      2.90e-01      5.33e-03      4.79e-03      1.26e-02    5.7e-04
 166000      6.96e-01      3.22e-03      2.36e-02      1.96e-02    5.7e-04
 168000      3.69e-01      1.26e-02      1.26e-02      1.52e-02    5.6e-04
 170000      5.55e-01      1.02e-02      2.29e-02      9.98e-03    5.6e-04
 172000      2.29e-01      2.89e-03      4.73e-03      1.66e-02    5.6e-04
 174000      2.03e-01      3.92e-03      4.66e-03      1.23e-02    5.5e-04
 176000      3.19e-01      2.32e-03      1.03e-02      8.75e-03    5.5e-04
 178000      2.32e-01      1.42e-02      4.41e-03      1.70e-02    5.4e-04
 180000      1.84e-01      1.26e-02      4.11e-03      1.09e-02    5.4e-04
 182000      2.18e-01      2.47e-03      2.72e-03      1.53e-02    5.4e-04
 184000      3.05e-01      3.33e-03      9.70e-03      1.52e-02    5.3e-04
 186000      2.51e-01      4.06e-03      6.12e-03      1.77e-02    5.3e-04
 188000      2.19e-01      2.38e-03      6.51e-03      1.18e-02    5.3e-04
 190000      1.91e+00      1.73e-02      7.87e-02      4.56e-02    5.2e-04
 192000      2.16e-01      2.35e-03      2.06e-03      1.57e-02    5.2e-04
 194000      2.35e+00      6.25e-03      1.00e-01      4.37e-02    5.2e-04
 196000      2.32e-01      2.05e-02      8.99e-03      5.76e-03    5.1e-04
 198000      2.48e-01      5.04e-03      9.81e-03      8.23e-03    5.1e-04
 200000      2.43e-01      1.22e-02      9.24e-03      8.69e-03    5.0e-04
 202000      3.21e-01      7.05e-03      9.91e-03      1.74e-02    5.0e-04
 204000      1.54e-01      3.70e-03      3.52e-03      9.95e-03    5.0e-04
 206000      5.56e-01      2.84e-04      2.21e-02      1.96e-02    4.9e-04
 208000      3.16e-01      2.78e-02      6.66e-03      1.94e-02    4.9e-04
 210000      6.67e-01      9.11e-05      2.53e-02      1.84e-02    4.9e-04
 212000      6.44e-01      6.38e-04      2.80e-02      1.68e-02    4.8e-04
 214000      3.13e-01      1.00e-03      9.90e-03      1.15e-02    4.8e-04
 216000      2.64e-01      3.96e-03      9.97e-03      1.34e-02    4.8e-04
 218000      2.88e-01      6.84e-03      1.17e-02      1.01e-02    4.7e-04
 220000      2.49e-01      8.35e-03      7.34e-03      1.46e-02    4.7e-04
 222000      3.37e-01      2.79e-03      1.46e-02      8.83e-03    4.7e-04
 224000      2.05e-01      1.53e-02      7.98e-03      8.75e-03    4.6e-04
 226000      1.95e-01      4.72e-03      3.42e-03      1.40e-02    4.6e-04
 228000      2.48e+00      3.15e-02      1.11e-01      5.03e-02    4.6e-04
 230000      2.76e-01      1.39e-02      1.03e-02      1.21e-02    4.6e-04
 232000      4.26e-01      1.58e-02      1.78e-02      8.65e-03    4.5e-04
 234000      3.31e-01      2.47e-04      1.07e-02      1.09e-02    4.5e-04
 236000      1.54e+00      1.87e-02      6.94e-02      3.67e-02    4.5e-04
 238000      2.24e-01      4.74e-03      1.00e-02      5.73e-03    4.4e-04
 240000      1.56e-01      3.33e-03      5.17e-03      8.86e-03    4.4e-04
 242000      4.96e-01      5.25e-03      2.05e-02      1.98e-02    4.4e-04
 244000      1.96e-01      4.45e-04      7.57e-03      9.33e-03    4.3e-04
 246000      5.01e-01      3.25e-02      2.06e-02      2.14e-02    4.3e-04
 248000      3.87e-01      2.55e-02      1.27e-02      2.47e-02    4.3e-04
 250000      3.18e-01      5.96e-03      1.16e-02      1.68e-02    4.3e-04
 252000      1.62e-01      1.70e-03      7.65e-03      3.22e-03    4.2e-04
 254000      1.54e+00      1.64e-02      7.27e-02      3.11e-02    4.2e-04
 256000      7.98e-01      2.45e-02      1.93e-02      6.45e-02    4.2e-04
 258000      2.45e-01      5.46e-03      9.75e-03      1.15e-02    4.1e-04
