#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      2.33e+00      3.19e-02      3.41e-02      1.55e-01    5.7e-04
 164000      3.81e-01      3.83e-03      6.25e-03      2.50e-02    5.7e-04
 166000      2.18e+00      2.04e-02      9.11e-02      2.45e-02    5.7e-04
 168000      3.72e+00      1.46e-02      1.10e-01      1.87e-01    5.6e-04
 170000      2.39e+00      3.11e-02      9.66e-02      4.86e-02    5.6e-04
 172000      1.59e+00      1.20e-02      6.58e-02      2.39e-02    5.6e-04
 174000      1.44e+00      3.34e-02      3.76e-02      1.16e-01    5.5e-04
 176000      1.45e+00      1.82e-02      4.62e-02      8.07e-02    5.5e-04
 178000      1.11e+00      2.42e-02      3.78e-02      6.84e-02    5.4e-04
 180000      1.18e+00      4.13e-03      5.08e-02      6.67e-03    5.4e-04
 182000      1.25e+00      3.45e-02      5.34e-02      1.01e-02    5.4e-04
 184000      1.38e+00      5.57e-03      5.42e-02      4.86e-02    5.3e-04
 186000      1.63e+00      4.53e-03      6.96e-02      2.32e-02    5.3e-04
 188000      1.75e+00      3.15e-02      6.21e-02      7.47e-02    5.3e-04
 190000      1.18e+00      3.25e-02      3.69e-02      8.56e-02    5.2e-04
 192000      1.37e+00      2.91e-02      5.92e-02      2.28e-02    5.2e-04
 194000      8.38e-01      3.52e-02      3.21e-02      4.23e-02    5.2e-04
 196000      1.10e+00      1.16e-02      4.50e-02      3.52e-02    5.1e-04
 198000      1.16e+00      1.81e-02      2.99e-02      7.02e-02    5.1e-04
 200000      1.95e+00      3.23e-02      4.83e-02      1.22e-01    5.0e-04
 202000      7.34e+00      1.27e-01      1.33e-01      5.04e-01    5.0e-04
 204000      3.17e+00      1.54e-02      3.03e-02      2.34e-01    5.0e-04
 206000      1.41e+00      2.87e-02      6.06e-02      2.98e-02    4.9e-04
 208000      1.43e+00      3.92e-03      6.29e-02      2.42e-02    4.9e-04
 210000      1.49e+00      3.23e-02      5.74e-02      5.81e-02    4.9e-04
 212000      2.41e+00      8.43e-03      1.09e-01      2.55e-02    4.8e-04
 214000      1.58e+00      4.97e-02      6.29e-02      5.68e-02    4.8e-04
 216000      7.46e-01      1.07e-03      3.23e-02      1.86e-02    4.8e-04
 218000      6.73e-01      1.88e-02      1.51e-02      6.36e-02    4.7e-04
 220000      1.33e+00      2.49e-02      5.07e-02      5.68e-02    4.7e-04
 222000      2.68e+00      4.65e-02      2.86e-02      2.85e-01    4.7e-04
 224000      7.85e-01      1.24e-03      3.07e-02      3.27e-02    4.6e-04
 226000      1.22e+00      2.95e-02      5.20e-02      3.63e-02    4.6e-04
 228000      1.23e+00      5.30e-02      4.97e-02      4.43e-02    4.6e-04
 230000      1.98e+00      1.46e-02      8.47e-02      6.21e-02    4.6e-04
 232000      7.78e-01      9.49e-03      3.50e-02      1.69e-02    4.5e-04
 234000      2.03e+00      2.82e-03      9.13e-02      4.72e-02    4.5e-04
 236000      1.49e+00      2.93e-02      6.90e-02      2.23e-02    4.5e-04
 238000      3.03e+00      4.02e-02      1.26e-01      1.32e-01    4.4e-04
 240000      2.65e+00      8.84e-02      1.02e-01      1.74e-01    4.4e-04
 242000      1.48e-01      4.59e-02      1.66e-03      4.41e-03    4.4e-04
 244000      1.10e+00      9.03e-03      5.18e-02      2.60e-02    4.3e-04
 246000      8.88e-01      1.64e-02      3.27e-02      4.54e-02    4.3e-04
 248000      9.18e-01      2.40e-02      4.31e-02      2.33e-02    4.3e-04
 250000      1.17e+00      5.37e-03      5.61e-02      1.47e-02    4.3e-04
 252000      1.23e+00      1.54e-02      5.80e-02      2.18e-02    4.2e-04
 254000      1.16e+00      8.95e-03      5.45e-02      2.44e-02    4.2e-04
