#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      1.52e+01      7.90e-02      1.51e-01      1.06e-01    5.7e-04
 164000      1.36e+01      7.52e-03      1.35e-01      1.24e-01    5.7e-04
 166000      1.41e+01      4.16e-02      1.41e-01      6.86e-02    5.7e-04
 168000      2.34e+01      3.45e-02      2.33e-01      9.14e-02    5.6e-04
 170000      1.34e+01      1.67e-02      1.34e-01      7.67e-02    5.6e-04
 172000      2.25e+01      8.26e-03      2.24e-01      9.69e-02    5.6e-04
 174000      1.73e+01      9.14e-03      1.73e-01      5.49e-02    5.5e-04
 176000      1.23e+01      2.12e-03      1.23e-01      8.94e-02    5.5e-04
 178000      1.73e+01      1.66e-02      1.73e-01      4.73e-02    5.4e-04
 180000      1.78e+01      1.60e-02      1.78e-01      7.35e-02    5.4e-04
 182000      2.79e+01      1.79e-02      2.77e-01      2.90e-01    5.4e-04
 184000      1.39e+01      1.67e-02      1.39e-01      2.68e-02    5.3e-04
 186000      1.47e+01      2.34e-02      1.47e-01      4.97e-02    5.3e-04
 188000      1.77e+01      2.62e-02      1.76e-01      6.02e-02    5.3e-04
 190000      3.52e+01      2.01e-02      3.51e-01      1.59e-01    5.2e-04
 192000      1.37e+01      6.54e-03      1.37e-01      4.93e-02    5.2e-04
 194000      1.51e+01      2.68e-02      1.51e-01      7.01e-02    5.2e-04
 196000      1.64e+01      2.16e-02      1.63e-01      8.25e-02    5.1e-04
 198000      1.82e+01      2.52e-02      1.81e-01      1.02e-01    5.1e-04
 200000      1.58e+01      1.44e-02      1.58e-01      5.05e-02    5.0e-04
 202000      1.58e+01      2.22e-02      1.58e-01      5.80e-02    5.0e-04
 204000      1.53e+01      1.29e-02      1.53e-01      4.95e-02    5.0e-04
 206000      2.43e+01      5.62e-02      2.42e-01      1.24e-01    4.9e-04
 208000      2.43e+01      1.84e-02      2.42e-01      1.13e-01    4.9e-04
 210000      1.69e+01      7.26e-03      1.68e-01      6.59e-02    4.9e-04
 212000      1.43e+01      9.52e-03      1.42e-01      8.45e-02    4.8e-04
 214000      1.52e+01      1.99e-02      1.51e-01      8.83e-02    4.8e-04
 216000      1.37e+01      4.16e-03      1.37e-01      5.88e-02    4.8e-04
 218000      1.42e+01      2.75e-02      1.41e-01      6.91e-02    4.7e-04
