#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      3.65e+00      7.96e-02      1.50e-01      4.53e-02    5.7e-04
 164000      5.76e+00      8.09e-02      2.10e-01      2.85e-01    5.7e-04
 166000      3.55e+00      1.84e-02      1.33e-01      1.61e-01    5.7e-04
 168000      5.12e+00      1.91e-01      1.92e-01      1.59e-01    5.6e-04
 170000      1.64e+00      3.06e-02      6.69e-02      4.18e-02    5.6e-04
 172000      3.27e+00      4.19e-02      1.25e-01      9.98e-02    5.6e-04
 174000      3.34e+00      4.48e-02      1.33e-01      1.20e-01    5.5e-04
 176000      3.72e+00      1.44e-02      1.15e-01      1.86e-01    5.5e-04
 178000      2.62e+00      1.08e-04      9.38e-02      7.37e-02    5.4e-04
 180000      4.34e+00      2.35e-02      1.82e-01      9.98e-02    5.4e-04
 182000      3.07e+00      3.68e-02      7.47e-02      1.31e-01    5.4e-04
 184000      4.14e+00      2.58e-02      1.66e-01      7.93e-02    5.3e-04
 186000      2.86e+00      5.94e-02      1.22e-01      3.51e-02    5.3e-04
 188000      2.27e+00      1.41e-02      8.04e-02      9.66e-02    5.3e-04
 190000      2.64e+00      6.53e-02      1.06e-01      7.30e-02    5.2e-04
 192000      3.38e+00      5.89e-02      1.46e-01      6.62e-02    5.2e-04
 194000      3.38e+00      1.46e-03      1.47e-01      5.70e-02    5.2e-04
 196000      3.59e+00      1.39e-02      1.14e-01      1.32e-01    5.1e-04
 198000      8.25e-01      3.40e-03      3.46e-02      1.99e-02    5.1e-04
 200000      1.95e+00      1.25e-02      6.18e-02      1.45e-01    5.0e-04
 202000      2.72e+00      1.08e-02      1.05e-01      1.46e-01    5.0e-04
 204000      3.43e+00      1.15e-01      1.50e-01      4.12e-02    5.0e-04
 206000      2.48e+00      4.19e-03      1.11e-01      1.49e-02    4.9e-04
 208000      3.35e+00      7.48e-03      1.50e-01      3.70e-02    4.9e-04
 210000      2.55e+00      7.74e-02      1.10e-01      7.86e-02    4.9e-04
 212000      3.04e+00      5.98e-03      1.16e-01      1.78e-01    4.8e-04
 214000      2.45e+00      8.70e-02      1.09e-01      2.59e-02    4.8e-04
 216000      2.50e+00      6.25e-02      1.06e-01      9.82e-02    4.8e-04
 218000      2.91e+00      7.43e-02      1.31e-01      3.29e-02    4.7e-04
 220000      2.57e+00      1.31e-02      1.03e-01      1.38e-01    4.7e-04
 222000      3.46e+00      1.36e-02      1.59e-01      2.75e-02    4.7e-04
 224000      2.06e+00      9.00e-04      7.38e-02      1.44e-01    4.6e-04
 226000      2.94e+00      4.11e-02      1.19e-01      1.56e-01    4.6e-04
 228000      1.67e+00      7.30e-02      6.10e-02      5.21e-02    4.6e-04
 230000      2.97e+00      1.58e-02      1.27e-01      1.33e-01    4.6e-04
 232000      3.02e+00      3.21e-02      1.38e-01      5.39e-02    4.5e-04
 234000      2.78e+00      6.67e-03      1.27e-01      5.11e-02    4.5e-04
 236000      2.48e+00      6.82e-03      9.95e-02      7.33e-02    4.5e-04
 238000      1.97e+00      1.51e-02      8.99e-02      4.28e-02    4.4e-04
 240000      4.00e+00      3.48e-04      1.87e-01      4.15e-02    4.4e-04
 242000      2.68e+00      3.42e-02      9.60e-02      1.40e-01    4.4e-04
 244000      2.19e+00      5.35e-02      7.99e-02      1.60e-01    4.3e-04
 246000      2.52e+00      3.46e-02      1.03e-01      1.48e-01    4.3e-04
 248000      3.02e+00      4.65e-02      1.30e-01      1.52e-01    4.3e-04
 250000      3.99e+00      4.13e-02      1.78e-01      1.25e-01    4.3e-04
 252000      2.86e+00      4.21e-02      1.35e-01      5.37e-02    4.2e-04
 254000      3.58e+00      1.22e-01      1.68e-01      3.16e-02    4.2e-04
 256000      3.82e+00      4.34e-02      1.86e-01      2.23e-02    4.2e-04
 258000      1.99e+00      5.48e-02      9.28e-02      6.86e-02    4.1e-04
 260000      2.79e+00      8.83e-03      1.13e-01      1.82e-01    4.1e-04
 262000      1.86e+00      5.51e-03      8.45e-02      5.99e-02    4.1e-04
 264000      3.36e+00      5.44e-02      1.63e-01      5.28e-02    4.1e-04
 266000      2.66e+00      6.42e-03      1.32e-01      1.97e-02    4.0e-04
 268000      2.63e+00      2.62e-02      1.23e-01      1.09e-01    4.0e-04
 270000      3.07e+00      5.24e-04      1.37e-01      1.14e-01    4.0e-04
 272000      3.06e+00      2.54e-03      1.52e-01      3.58e-02    3.9e-04
 274000      2.19e+00      2.21e-02      8.45e-02      1.65e-01    3.9e-04
